"ID","name","versionNumber","contentType","dataFileSizeBytes","createdBy","createdOn","modifiedBy","modifiedOn","parentId","synapseURL","dataFileMD5Hex"
"syn68468189","wetlab_cataract_044_0004_instruments_mask.png","1","image/png","7952","3465426","1750598919626","3465426","1750598919626","syn68466835","https://www.synapse.org/#!Synapse:syn68468189.1","9483f9519e73da4618b143fea9b7fde4"
"syn68467159","wetlab_cataract_011_0007_instruments_mask.png","1","image/png","7955","3465426","1750598348426","3465426","1750598348426","syn68466835","https://www.synapse.org/#!Synapse:syn68467159.1","8a282f51970fcd4da6fb1ce70e69cf63"
"syn68468412","wetlab_cataract_053_0004_instruments_mask.png","1","image/png","8089","3465426","1750598969596","3465426","1750598969596","syn68466835","https://www.synapse.org/#!Synapse:syn68468412.1","ef528b688f1df65a3939d4d75ed8d64a"
"syn68467439","wetlab_cataract_018_0006_instruments_mask.png","1","image/png","8093","3465426","1750598505694","3465426","1750598505694","syn68466835","https://www.synapse.org/#!Synapse:syn68467439.1","0da875d9b8aee78f7759b5dbb574453a"
"syn68466999","wetlab_cataract_009_0012_instruments_mask.png","1","image/png","8470","3465426","1750598121082","3465426","1750598121082","syn68466835","https://www.synapse.org/#!Synapse:syn68466999.1","a61e5f330430e7ec61323fd6b9af5445"
"syn68467892","wetlab_cataract_034_0002_instruments_mask.png","1","image/png","8717","3465426","1750598801821","3465426","1750598801821","syn68466835","https://www.synapse.org/#!Synapse:syn68467892.1","56afa6d9f2153775bcb67590f1f8e38c"
"syn68468356","wetlab_cataract_050_0012_instruments_mask.png","1","image/png","8721","3465426","1750598957859","3465426","1750598957859","syn68466835","https://www.synapse.org/#!Synapse:syn68468356.1","8dbeb2889d5c7a1cf0c971875b5da972"
"syn68467235","wetlab_cataract_012_0014_instruments_mask.png","1","image/png","8747","3465426","1750598365424","3465426","1750598365424","syn68466835","https://www.synapse.org/#!Synapse:syn68467235.1","75d3dc954bdce958d35525df24fd2070"
"syn68468032","wetlab_cataract_040_0012_instruments_mask.png","1","image/png","8764","3465426","1750598828195","3465426","1750598828195","syn68466835","https://www.synapse.org/#!Synapse:syn68468032.1","c953a5d98c4f4bf3b259fe410932f1ab"
"syn68468409","wetlab_cataract_053_0003_instruments_mask.png","1","image/png","8779","3465426","1750598969183","3465426","1750598969183","syn68466835","https://www.synapse.org/#!Synapse:syn68468409.1","e07c2db0fd20fdcc8ade6c84e3471a98"
"syn68467000","wetlab_cataract_009_0013_instruments_mask.png","1","image/png","8908","3465426","1750598121236","3465426","1750598121236","syn68466835","https://www.synapse.org/#!Synapse:syn68467000.1","4fc3bc7c8d58908776c21ec522a17169"
"syn68467432","wetlab_cataract_018_0001_instruments_mask.png","1","image/png","8980","3465426","1750598503945","3465426","1750598503945","syn68466835","https://www.synapse.org/#!Synapse:syn68467432.1","06c3c94887e3bc137513aad500a499d6"
